smart_5_raw_max,smart_5_raw_mean,smart_5_raw_cv,smart_5_raw_diff_mean,smart_5_raw_diff_max,smart_5_raw_diff_std,smart_5_raw_slope,smart_5_raw_skew,smart_5_raw_kurt,smart_5_raw_last,smart_187_raw_max,smart_187_raw_mean,smart_187_raw_cv,smart_187_raw_diff_mean,smart_187_raw_diff_max,smart_187_raw_diff_std,smart_187_raw_slope,smart_187_raw_skew,smart_187_raw_kurt,smart_187_raw_last,smart_188_raw_max,smart_188_raw_mean,smart_188_raw_cv,smart_188_raw_diff_mean,smart_188_raw_diff_max,smart_188_raw_diff_std,smart_188_raw_slope,smart_188_raw_skew,smart_188_raw_kurt,smart_188_raw_last,smart_198_raw_max,smart_198_raw_mean,smart_198_raw_cv,smart_198_raw_diff_mean,smart_198_raw_diff_max,smart_198_raw_diff_std,smart_198_raw_slope,smart_198_raw_skew,smart_198_raw_kurt,smart_198_raw_last,smart_197_raw_max,smart_197_raw_mean,smart_197_raw_cv,smart_197_raw_diff_mean,smart_197_raw_diff_max,smart_197_raw_diff_std,smart_197_raw_slope,smart_197_raw_skew,smart_197_raw_kurt,smart_197_raw_last,smart_241_raw_max,smart_241_raw_mean,smart_241_raw_cv,smart_241_raw_diff_mean,smart_241_raw_diff_max,smart_241_raw_diff_std,smart_241_raw_slope,smart_241_raw_skew,smart_241_raw_kurt,smart_241_raw_last,smart_12_raw_max,smart_12_raw_mean,smart_12_raw_cv,smart_12_raw_diff_mean,smart_12_raw_diff_max,smart_12_raw_diff_std,smart_12_raw_slope,smart_12_raw_skew,smart_12_raw_kurt,smart_12_raw_last,smart_7_raw_max,smart_7_raw_mean,smart_7_raw_cv,smart_7_raw_diff_mean,smart_7_raw_diff_max,smart_7_raw_diff_std,smart_7_raw_slope,smart_7_raw_skew,smart_7_raw_kurt,smart_7_raw_last,smart_4_raw_max,smart_4_raw_mean,smart_4_raw_cv,smart_4_raw_diff_mean,smart_4_raw_diff_max,smart_4_raw_diff_std,smart_4_raw_slope,smart_4_raw_skew,smart_4_raw_kurt,smart_4_raw_last,smart_193_raw_max,smart_193_raw_mean,smart_193_raw_cv,smart_193_raw_diff_mean,smart_193_raw_diff_max,smart_193_raw_diff_std,smart_193_raw_slope,smart_193_raw_skew,smart_193_raw_kurt,smart_193_raw_last,smart_190_raw_max,smart_190_raw_mean,smart_190_raw_cv,smart_190_raw_diff_mean,smart_190_raw_diff_max,smart_190_raw_diff_std,smart_190_raw_slope,smart_190_raw_skew,smart_190_raw_kurt,smart_190_raw_last,failure
9312,8678.857142857143,0.04410256973503615,174.66666666666666,384,165.46016640468684,174.66666666666666,0.6621366016233834,-0.760643231,9312,147,130.57142857142858,0.06961325425526482,4.5,12,4.806245936279167,4.5,0.9429759192254269,0.6294994560207199,147,0,0,0,0,0,0,0,0,0,0,40,33.142857142857146,0.09123280382981347,1.3333333333333333,8,3.265986323710904,1.3333333333333333,2.645751311064586,6.999999999999977,40,40,33.142857142857146,0.09123280382981347,1.3333333333333333,8,3.265986323710904,1.3333333333333333,2.645751311064586,6.999999999999977,40,79116509872,78969964605.71428,0.0015247494561578807,52403534.666666664,79541632,20707454.433838755,52403534.666666664,-0.298998639,-1.547928097,79116509872,8,8,0,0,0,0,0,0,0,8,490989468,474738128,0.023274578142388733,5184428.333333333,8176878,2266303.080712169,5184428.333333333,0.023639051241435612,-1.02884031,490989468,8,8,0,0,0,0,0,0,0,8,1147,1139,0.0034750781641902013,2,7,2.5298221281347035,2,1.5578018727132585,3.0608420099592575,1147,37,36.142857142857146,0.010457515063496405,0.16666666666666666,1,0.408248290463863,0.16666666666666666,2.645751311064556,6.999999999999828,37,1
152,123.42857142857143,0.19750675007131058,10.666666666666666,16,6.531972647421808,10.666666666666666,-0.075730399,-1.313183432,152,29,24.571428571428573,0.18330096244691219,1.5,5,2.345207879911715,1.5,-0.066295242,-2.605594128,29,0,0,0,0,0,0,0,0,0,0,48,42.285714285714285,0.09231487176540178,0,8,5.059644256269407,0,1.229634091915153,-0.84,40,48,42.285714285714285,0.09231487176540178,0,8,5.059644256269407,0,1.229634091915153,-0.84,40,1.25609E+11,125503921082.28572,0.0006623335414790182,37166826.666666664,58920784,14400248.772240162,37166826.666666664,-0.122960071,-1.539316367,1.25609E+11,15,15,0,0,0,0,0,0,0,15,101141242,95183544.42857143,0.05301409282388039,2378569.1666666665,4811522,1414523.437638757,2378569.1666666665,-0.527025655,-0.55542716,101141242,16,16,0,0,0,0,0,0,0,16,2219,2215.1428571428573,0.001794971902932035,1.5,5,1.760681686165901,1.5,-0.34770842,-2.388525185,2219,25,24.142857142857142,0.028582597132523545,0,1,0.8944271909999159,0,-0.173896521,0.3359999999999994,24,1
6176,6170.285714285715,0.0006326449815372969,1.3333333333333333,8,3.265986323710904,1.3333333333333333,1.2296340919147324,-0.84,6176,405,262.42857142857144,0.2836488927722887,31.833333333333332,100,44.96405972181189,31.833333333333332,1.5786366418720839,1.395437760870852,405,0,0,0,0,0,0,0,0,0,0,176,176,0,0,0,0,0,0,0,176,176,176,0,0,0,0,0,0,0,176,1.4073E+11,140639940034.2857,0.0007232713107963822,42481944,99392536,35108784.29884496,42481944,-0.879163447,-0.833556657,1.4073E+11,12,12,0,0,0,0,0,0,0,12,993922530,989849762.8571428,0.004115698660145699,1695998,2976896,1015809.109316903,1695998,-0.528940467,-1.429347663,993922530,16,13.714285714285714,0.0914058790353346,0.5,2,0.8366600265340756,0.5,1.450407336759031,0.5206611570248016,16,2276,2271.714285714286,0.001128434061434182,1.1666666666666667,2,0.9831920802501751,1.1666666666666667,0.6919941630934618,-0.280529301,2276,32,30.285714285714285,0.06797473685917386,-0.666666667,2,2.581988897471611,-0.666666667,-0.854705296,-0.982527459,28,1
2264,1016,0.5416498747061367,242.66666666666666,1456,594.4095109153845,242.66666666666666,2.6457513110645903,7,2264,41,25.857142857142858,0.32848544742971825,4.166666666666667,11,4.119061381755153,4.166666666666667,0.8562204231573345,0.42611273404568006,41,0,0,0,0,0,0,0,0,0,0,352,244.57142857142858,0.19613183659050876,22.666666666666668,120,48.11098280711657,22.666666666666668,2.505631221806801,6.466353230121477,352,352,244.57142857142858,0.19613183659050876,22.666666666666668,120,48.11098280711657,22.666666666666668,2.505631221806801,6.466353230121477,352,1.20326E+11,120217782902.85715,0.0006333764073251361,35255442.666666664,54477024,12847841.087252015,35255442.666666664,0.0838957531265883,-1.22355189,1.20326E+11,7,7,0,0,0,0,0,0,0,7,551004230,540162580.5714285,0.013110504905029768,3329008.5,5177767,1308683.8797541216,3329008.5,0.24980624298566664,-0.902526204,551004230,7,7,0,0,0,0,0,0,0,7,2260,2256.5714285714284,0.0009861839660291992,1,2,1.0954451150103321,1,0.2488754864142838,-0.944378698,2260,33,31.285714285714285,0.035565666500906916,0.5,2,1.378404875209022,0.5,0.24887548641404234,-0.944378698,33,1
11544,11541.714285714286,0.0003382166803960655,1.3333333333333333,8,3.265986323710904,1.3333333333333333,-1.229634092,-0.84,11544,145,123.85714285714286,0.2688887832314918,13.666666666666666,42,17.727567985109147,13.666666666666666,-1.404174697,0.5512839480809575,145,4298309683,3070548887.142857,0.6828311527350343,716199259,4296343573,1753905367.5035534,716199259,-1.229634089,-0.839999909,4298309683,8,5.714285714285714,0.6831300510639733,1.3333333333333333,8,3.265986323710904,1.3333333333333333,-1.229634092,-0.84,8,8,5.714285714285714,0.6831300510639733,1.3333333333333333,8,3.265986323710904,1.3333333333333333,-1.229634092,-0.84,8,1.1611E+11,1.16102E+11,0.00011260305891347117,5278093.333333333,19733248,8296991.899996785,5278093.333333333,-1.471540698,0.6628156986723237,1.1611E+11,4,4,0,0,0,0,0,0,0,4,1.97712E+11,151690258988.7143,0.4249727214566756,27203672462,68725731914,29467825190.516453,27203672462,-1.324333334,0.4591734139078687,1.97712E+11,4,4,0,0,0,0,0,0,0,4,1743,1734.142857142857,0.006793987770347925,4.333333333333333,22,8.664102184685188,4.333333333333333,-1.178204347,-0.879692582,1743,45,43.57142857142857,0.018057608351757713,0.3333333333333333,1,0.5163977794943223,0.3333333333333333,1.114549779391636,0.27337278106511054,45,1
0,0,0,0,0,0,0,0,0,0,140,128,0.06705413119574861,4.333333333333333,9,3.0767948691238205,4.333333333333333,-0.318848222,-0.072369526,140,4295884814,2455044107.857143,0.9351646394147012,715871574,4295163907,1753487971.417151,715871574,-0.374165738,-2.799999999,4295884814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79719765896,79567347170.28572,0.001353774892994288,52024782.666666664,81432720,27834656.129367553,52024782.666666664,-0.169103207,-0.8472162,79719765896,3,3,0,0,0,0,0,0,0,3,4330720286,638810929.5714285,2.5484645686526006,719008793.6666666,4299309719,1753982643.8289375,719008793.6666666,2.6456965993074735,6.999779368945196,4330720286,3,3,0,0,0,0,0,0,0,3,2227,2149.5714285714284,0.02038418479101729,17.5,72,28.967222856186957,17.5,1.3789825739735402,0.10614454403828066,2227,34,32.714285714285715,0.0383186217790049,0.16666666666666666,4,2.228601953392904,0.16666666666666666,-2.103090638,5.380165289256212,34,1
5320,5320,0,0,0,0,0,0,0,5320,32,31.142857142857142,0.012136473903966011,0.16666666666666666,1,0.408248290463863,0.16666666666666666,2.6457513110645956,7.000000000000028,32,4295032833,4295032833,0,0,0,0,0,0,0,4295032833,8,1.1428571428571428,2.6457513110645907,1.3333333333333333,8,3.265986323710904,1.3333333333333333,2.64575131106459,7,8,8,1.1428571428571428,2.6457513110645907,1.3333333333333333,8,3.265986323710904,1.3333333333333333,2.64575131106459,7,8,1.1947E+11,119263236203.42857,0.0013663844522985493,74603612,99269464,19551141.268747825,74603612,-0.290300827,-1.19846116,1.1947E+11,6,6,0,0,0,0,0,0,0,6,13461084605,13445648015.428572,0.0008480405109093004,5215137,8633137,1999158.7748749722,5215137,-0.028602556,-1.378655801,13461084605,6,6,0,0,0,0,0,0,0,6,2109,2105.4285714285716,0.0011587902888179759,1.1666666666666667,2,0.9831920802501751,1.1666666666666667,-0.023608975,-0.8174208,2109,29,27.428571428571427,0.035579690159581935,0.3333333333333333,1,0.816496580927726,0.3333333333333333,0.2766676706809157,0.04200000000000337,29,1
15728,15608,0.0127316682197583,76,352,140.37663623267227,76,-1.31093891,-0.327205146,15728,261,261,0,0,0,0,0,0,0,261,65537,65537,0,0,0,0,0,0,0,65537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14223E+11,114160681075.42857,0.0002957294229671883,17149322.666666668,36916432,17420166.196107987,17149322.666666668,1.165970112364607,1.318116001979046,1.14223E+11,7,7,0,0,0,0,0,0,0,7,357068032,351374292.71428573,0.011583308012005446,2016042.8333333333,5365642,2158450.7969171237,2016042.8333333333,-0.515629092,-0.115773061,357068032,7,7,0,0,0,0,0,0,0,7,2034,1849.857142857143,0.09095095643122758,61.666666666666664,169,63.4686274206924,61.666666666666664,0.047173697726042296,-2.363519388,2034,32,30.857142857142858,0.03464497580346242,0.16666666666666666,2,1.4719601443879746,0.16666666666666666,-0.771716836,0.26250000000000284,32,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36365E+11,136240225333.71428,0.0006782033703764906,40452269.333333336,60543320,13015732.265398987,40452269.333333336,0.14742747085606434,-1.557407964,1.36365E+11,15,14.571428571428571,0.03668291555660727,0.16666666666666666,1,0.408248290463863,0.16666666666666666,-0.374165739,-2.8,15,497700203,484609312.5714286,0.01652240982064224,3552376,8312281,2556362.2111502117,3552376,0.8848153636367136,-0.656092538,497700203,15,14.571428571428571,0.03668291555660727,0.16666666666666666,1,0.408248290463863,0.16666666666666666,-0.374165739,-2.8,15,2438,2433.8571428571427,0.001411955825764999,1.3333333333333333,4,1.3662601021279464,1.3333333333333333,-0.141507492,-2.307323101,2438,37,36.285714285714285,0.020832687488697564,-0.333333333,1,1.2110601416389968,-0.333333333,-0.595294045,-0.35,35,1
0,0,0,0,0,0,0,0,0,0,2,1,1,0.3333333333333333,1,0.5163977794943223,0.3333333333333333,0,-2.6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30509E+11,130404984626.28572,0.0005734409045035111,32967568,47343680,11058798.186104383,32967568,0.1926303609857423,-1.454246188,1.30509E+11,10,10,0,0,0,0,0,0,0,10,334115196,324893817.4285714,0.02005555290431805,2716213.5,6029575,2009981.3882810706,2716213.5,0.5535048274480998,-1.493745064,334115196,10,10,0,0,0,0,0,0,0,10,2020,2017.142857142857,0.001160119204467008,1,2,0.6324555320336759,1,0.08918136771494212,-1.444672968,2020,37,35.57142857142857,0.03187652182005531,-0.333333333,1,1.0327955589886446,-0.333333333,-0.725131841,-0.743209877,34,1
